Round,Score,Moving_Avg
1,0.5086,
1,0.5086,0.4414
2,0.307,0.37420000000000003
2,0.307,0.31826666666666664
3,0.3408,0.3295333333333333
3,0.3408,0.22763333333333333
4,0.0013,0.11446666666666666
4,0.0013,0.13046666666666665
5,0.3888,0.2596333333333333
5,0.3888,0.38786666666666664
6,0.386,0.38693333333333335
6,0.386,0.36733333333333335
7,0.33,0.3486666666666667
7,0.33,0.39930000000000004
8,0.5379,0.46860000000000007
8,0.5379,0.34636666666666666
9,-0.0367,0.15483333333333335
9,-0.0367,0.11433333333333333
10,0.4164,0.2653666666666667
10,0.4164,0.41706666666666664
1,0.4184,0.41773333333333335
1,0.4184,0.41996666666666665
2,0.4231,0.4215333333333333
2,0.4231,0.3994
3,0.352,0.3757
3,0.352,0.38276666666666664
4,0.4443,0.4135333333333333
4,0.4443,0.472
5,0.5274,0.4997
5,0.5274,0.4106666666666667
6,0.1772,0.2939333333333333
6,0.1772,0.23503333333333334
7,0.3507,0.29286666666666666
7,0.3507,0.3494333333333333
8,0.3469,0.3481666666666667
8,0.3469,0.3483
9,0.3511,0.34969999999999996
9,0.3511,0.40043333333333336
10,0.4991,0.44976666666666665
10,0.4991,
