optimized_file,reference_file,similarity_score
第672次市政會議114年5月20日逐字稿__結構化摘要__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0535
第671次市政會議114年5月13日逐字稿__結構化摘要__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0269
第672次市政會議114年5月20日逐字稿__補充會議背景.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第671次市政會議114年5月13日逐字稿__明確標示決議事項.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0387
第671次市政會議114年5月13日逐字稿__強化邏輯連貫性.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0371
第672次市政會議114年5月20日逐字稿__明確標示決議事項__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0632
第671次市政會議114年5月13日逐字稿__補充會議背景__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0376
第672次市政會議114年5月20日逐字稿__精簡冗詞__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0577
第672次市政會議114年5月20日逐字稿__明確標註發言者.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第671次市政會議114年5月13日逐字稿__精簡冗詞__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0365
第672次市政會議114年5月20日逐字稿__明確標註發言者__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0572
第672次市政會議114年5月20日逐字稿__強化邏輯連貫性.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第672次市政會議114年5月20日逐字稿__補充會議背景__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0589
第672次市政會議114年5月20日逐字稿__精簡冗詞.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0245
第671次市政會議114年5月13日逐字稿__補充會議背景.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0328
第671次市政會議114年5月13日逐字稿__結構化摘要.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0391
第671次市政會議114年5月13日逐字稿__明確標示決議事項__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0429
第671次市政會議114年5月13日逐字稿__明確標註發言者.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0521
第672次市政會議114年5月20日逐字稿__轉換為正式書面語.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第672次市政會議114年5月20日逐字稿__強化邏輯連貫性__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0662
第672次市政會議114年5月20日逐字稿__結構化摘要.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0567
第671次市政會議114年5月13日逐字稿__補充省略資訊.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0172
第671次市政會議114年5月13日逐字稿__刪除無關閒聊.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0363
第671次市政會議114年5月13日逐字稿__精簡冗詞.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0375
第671次市政會議114年5月13日逐字稿__統一專有名詞__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0367
第672次市政會議114年5月20日逐字稿__刪除無關閒聊__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0499
第672次市政會議114年5月20日逐字稿__轉換為正式書面語__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0573
第672次市政會議114年5月20日逐字稿__明確標示決議事項.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第672次市政會議114年5月20日逐字稿__統一專有名詞.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第671次市政會議114年5月13日逐字稿__補充省略資訊__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0345
第672次市政會議114年5月20日逐字稿__補充省略資訊__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0672
第672次市政會議114年5月20日逐字稿__補充省略資訊.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第672次市政會議114年5月20日逐字稿__刪除無關閒聊.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0000
第671次市政會議114年5月13日逐字稿__轉換為正式書面語__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0274
第671次市政會議114年5月13日逐字稿__強化邏輯連貫性__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0290
第671次市政會議114年5月13日逐字稿__明確標註發言者__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0322
第671次市政會議114年5月13日逐字稿__統一專有名詞.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0358
第671次市政會議114年5月13日逐字稿__刪除無關閒聊__gemma3_4b.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0361
第671次市政會議114年5月13日逐字稿__轉換為正式書面語.txt,第671次市政會議114年5月13日會議紀錄.txt,0.0449
第672次市政會議114年5月20日逐字稿__統一專有名詞__gemma3_4b.txt,第672次市政會議114年5月20日會議紀錄.txt,0.0330
